Engine RPM(rpm),Intake Air Temperature(°C),Engine Load(%),Throttle Position(Manifold)(%),,,,,,,,
761.5,30,49.80392075,16.86274529,,,,,,,,
764.75,30,50.19607925,16.86274529,,,,,,,,
759.25,30,49.80392075,16.86274529,,,,,,,,
766.25,30,50.19607925,16.47058868,,,,,,,,
739.75,30,38.03921509,15.68627453,,,,,,,,
683.5,30,38.4313736,15.68627453,,,,,,,,
864.75,30,40,21.17647171,,,,,,,,
1413.25,30,55.29411697,20.3921566,,,,,,,,
1657,30,62.74509811,21.56862831,,,,,,,,
1787.5,30,50.19607925,15.29411793,,,,,,,,
1049,30,35.68627548,15.68627453,,,,,,,,
1522.5,30,79.21569061,24.70588303,,,,,,,,
1934.25,30,80,25.49019623,,,,,,,,
2098.25,30,78.03921509,25.49019623,,,,,,,,
1391.25,30,33.33333206,16.47058868,,,,,,,,
1825,30,85.09803772,27.05882454,,,,,,,,
1978,30,71.76470947,16.47058868,,,,,,,,
1447.5,30,63.13725662,20.7843132,,,,,,,,
1578.75,30,61.96078491,21.17647171,,,,,,,,
1914,30,85.49019623,28.62745094,,,,,,,,
2148.25,30,84.70588684,27.05882454,,,,,,,,
2355.25,30,83.52941132,28.23529434,,,,,,,,
2631.25,30,90.58823395,32.54901886,,,,,,,,
2739,30,92.15686798,33.33333206,,,,,,,,
3101.5,30,86.66667175,29.80392265,,,,,,,,
2523.25,30,87.05882263,33.33333206,,,,,,,,
2239.75,30,65.49019623,23.92156982,,,,,,,,
2000,30,83.92156982,27.84313774,,,,,,,,
2119.5,30,94.50980377,36.86274719,,,,,,,,
2777.25,30,94.90196228,37.25490189,,,,,,,,
2947.5,30,96.07843018,41.17647171,,,,,,,,
2578.75,30,19.6078434,16.47058868,,,,,,,,
1664,30,36.47058868,18.8235302,,,,,,,,
1902.25,30,40,21.96078491,,,,,,,,
1886.5,30,70.19608307,22.35294151,,,,,,,,
2153.75,30,27.84313774,18.8235302,,,,,,,,
1703.75,30,32.15686417,16.47058868,,,,,,,,
1216.25,30,27.05882454,16.86274529,,,,,,,,
2014.75,30,42.35294342,22.74509811,,,,,,,,
1833.5,30,83.52941132,27.45098114,,,,,,,,
1833.5,30,87.05882263,27.45098114,,,,,,,,
1899,30,87.05882263,27.45098114,,,,,,,,
1992.75,30,69.80392456,17.64705849,,,,,,,,
1969.5,30,29.01960754,15.68627453,,,,,,,,
1442,30,21.56862831,15.29411793,,,,,,,,
1356.25,30,21.96078491,15.29411793,,,,,,,,
2352.25,30,80,29.80392265,,,,,,,,
2455.25,30,91.37255096,31.37254906,,,,,,,,
2503,30,91.76470947,33.72549057,,,,,,,,
2211.5,30,39.60784531,27.45098114,,,,,,,,
2098.25,30,62.74509811,15.29411793,,,,,,,,
1463.25,30,24.70588303,16.47058868,,,,,,,,
1218.75,30,30.58823586,16.47058868,,,,,,,,
1611.5,30,26.27450943,16.47058868,,,,,,,,
1457,30,27.45098114,16.47058868,,,,,,,,
1346.75,30,29.01960754,16.47058868,,,,,,,,
1337.5,30,29.80392265,16.47058868,,,,,,,,
1271,30,30.19607925,16.47058868,,,,,,,,
1216.25,30,31.76470566,16.47058868,,,,,,,,
1153.75,30,26.66666794,15.68627453,,,,,,,,
1417.75,30,36.07843018,21.96078491,,,,,,,,
1048.25,30,29.80392265,15.68627453,,,,,,,,
934.25,30,29.41176605,15.68627453,,,,,,,,
876.5,30,30.98039246,15.68627453,,,,,,,,
844.5,30,32.15686417,15.68627453,,,,,,,,
1184.25,30,61.96078491,24.70588303,,,,,,,,
2047.5,30,81.5686264,26.27450943,,,,,,,,
2035,30,81.5686264,25.88235283,,,,,,,,
1459.25,30,46.27450943,27.84313774,,,,,,,,
1634.25,30,57.25490189,15.29411793,,,,,,,,
2313.25,30,88.23529816,30.19607925,,,,,,,,
1590.5,30,32.15686417,21.96078491,,,,,,,,
2223.25,30,94.50980377,33.33333206,,,,,,,,
2382,30,92.94117737,34.11764908,,,,,,,,
1858.5,30,34.11764908,16.07843208,,,,,,,,
1242,30,37.25490189,16.47058868,,,,,,,,
2125.75,30,95.29412079,33.72549057,,,,,,,,
1502.25,30,65.09803772,16.07843208,,,,,,,,
1314.75,30,29.01960754,15.29411793,,,,,,,,
1175,30,26.27450943,15.68627453,,,,,,,,
1185.75,30,26.27450943,15.68627453,,,,,,,,
1136.5,30,26.66666794,15.68627453,,,,,,,,
1050,30,27.05882454,15.68627453,,,,,,,,
989.75,30,29.01960754,15.68627453,,,,,,,,
969.5,30,29.80392265,15.68627453,,,,,,,,
900,30,30.58823586,15.68627453,,,,,,,,
849,30,32.15686417,15.29411793,,,,,,,,
867,30,32.15686417,15.68627453,,,,,,,,
1510.75,30,56.47058868,20,,,,,,,,
1147.5,30,39.60784531,24.31372643,,,,,,,,
1470.25,30,43.52941132,16.86274529,,,,,,,,
1000,30,40.39215851,16.47058868,,,,,,,,
943.75,30,40.7843132,16.47058868,,,,,,,,
860,30,42.35294342,16.47058868,,,,,,,,
855.25,30,44.31372452,16.47058868,,,,,,,,
903,30,44.31372452,20.3921566,,,,,,,,
1287.5,30,44.31372452,17.64705849,,,,,,,,
875,30,43.52941132,16.47058868,,,,,,,,
867.75,30,43.52941132,16.47058868,,,,,,,,
1371.75,30,75.6862793,25.49019623,,,,,,,,
1391.25,30,65.09803772,14.90196133,,,,,,,,
2157,30,84.70588684,29.01960754,,,,,,,,
2322.5,30,91.37255096,31.76470566,,,,,,,,
1648.25,30,29.80392265,15.29411793,,,,,,,,
1134.25,30,30.19607925,15.68627453,,,,,,,,
987.5,30,29.41176605,15.68627453,,,,,,,,
946,30,30.58823586,15.68627453,,,,,,,,
944.5,30,30.58823586,15.68627453,,,,,,,,
964.75,30,29.80392265,15.68627453,,,,,,,,
2285,30,89.01960754,30.19607925,,,,,,,,
2292.75,30,92.94117737,32.54901886,,,,,,,,
2431.25,30,95.29412079,37.64706039,,,,,,,,
2605.25,30,97.2549057,42.35294342,,,,,,,,
2435.75,30,54.50980377,36.07843018,,,,,,,,
1379.5,30,29.80392265,16.47058868,,,,,,,,
1364,30,29.80392265,16.47058868,,,,,,,,
1353,30,30.19607925,16.47058868,,,,,,,,
1342.75,30,30.19607925,16.47058868,,,,,,,,
1350,30,30.19607925,16.47058868,,,,,,,,
1389,30,29.80392265,15.29411793,,,,,,,,
1332.75,30,24.31372643,15.68627453,,,,,,,,
1246,30,24.70588303,15.68627453,,,,,,,,
1203,30,25.88235283,15.68627453,,,,,,,,
1192,30,25.88235283,15.68627453,,,,,,,,
1137.5,30,26.27450943,15.68627453,,,,,,,,
1091.25,30,27.45098114,15.68627453,,,,,,,,
908.5,30,30.19607925,15.68627453,,,,,,,,
833.5,30,32.54901886,15.68627453,,,,,,,,
1810,30,72.94117737,24.31372643,,,,,,,,
2228,30,88.23529816,30.98039246,,,,,,,,
1388.25,30,26.66666794,15.29411793,,,,,,,,
965.5,30,39.2156868,16.86274529,,,,,,,,
2082,30,94.11764526,35.68627548,,,,,,,,
2304.5,30,95.6862793,39.2156868,,,,,,,,
1491.25,30,31.76470566,18.03921509,,,,,,,,
1135,30,45.09804153,26.66666794,,,,,,,,
2296,30,91.37255096,30.98039246,,,,,,,,
2337.5,30,74.90196228,29.80392265,,,,,,,,
1421.75,30,29.01960754,16.47058868,,,,,,,,
1135,30,32.94117737,15.68627453,,,,,,,,
1078.75,30,27.45098114,15.68627453,,,,,,,,
957.75,30,29.80392265,15.68627453,,,,,,,,
850.75,30,32.15686417,15.68627453,,,,,,,,
857,30,32.94117737,15.68627453,,,,,,,,
865.5,30,32.94117737,15.68627453,,,,,,,,
851.5,30,32.94117737,15.29411793,,,,,,,,
897.5,30,32.54901886,17.64705849,,,,,,,,
2057.75,30,81.17647552,26.66666794,,,,,,,,
1274,30,26.27450943,15.29411793,,,,,,,,
1185.75,30,25.88235283,15.29411793,,,,,,,,
1836.5,30,49.01960754,26.66666794,,,,,,,,
2330.25,30,93.33333588,35.68627548,,,,,,,,
1622.5,30,38.03921509,16.47058868,,,,,,,,
1025,30,40.7843132,16.86274529,,,,,,,,
956.25,30,43.13725662,16.86274529,,,,,,,,
2098.25,30,89.41176605,29.80392265,,,,,,,,
1473.25,30,89.01960754,37.64706039,,,,,,,,
2318.75,30,96.86274719,42.35294342,,,,,,,,
2418.75,30,97.64706421,44.31372452,,,,,,,,
2567.75,30,97.2549057,45.88235474,,,,,,,,
2623.25,30,98.4313736,43.92156982,,,,,,,,
2128,30,24.31372643,15.29411793,,,,,,,,
1604.5,30,55.29411697,20.7843132,,,,,,,,
2100.75,30,85.49019623,29.41176605,,,,,,,,
2407.75,30,94.90196228,36.86274719,,,,,,,,
2447.5,30,96.07843018,39.60784531,,,,,,,,
2060.75,30,42.35294342,21.17647171,,,,,,,,
2437.5,30,92.15686798,34.11764908,,,,,,,,
2473.25,30,92.15686798,34.50980377,,,,,,,,
2494.5,30,92.54901886,34.90196228,,,,,,,,
2324,30,54.50980377,20.7843132,,,,,,,,
1528.75,30,25.88235283,16.47058868,,,,,,,,
1245.25,30,31.76470566,16.47058868,,,,,,,,
1264,30,29.80392265,16.47058868,,,,,,,,
1125.75,30,33.72549057,16.47058868,,,,,,,,
1054.5,30,35.68627548,16.47058868,,,,,,,,
2318.75,30,96.86274719,39.2156868,,,,,,,,
2425,30,97.2549057,49.80392075,,,,,,,,
2528,30,97.64706421,53.72549057,,,,,,,,
3339,30,97.2549057,54.11764908,,,,,,,,
3571,30,96.07843018,53.33333588,,,,,,,,
3833.5,30,95.6862793,52.94117737,,,,,,,,
4107,30,92.94117737,41.17647171,,,,,,,,
2653.75,30,16.47058868,15.68627453,,,,,,,,
2235.75,30,91.37255096,32.54901886,,,,,,,,
1699,30,25.49019623,15.68627453,,,,,,,,
2187.5,30,51.76470566,28.23529434,,,,,,,,
2486.5,30,96.86274719,41.5686264,,,,,,,,
2519.5,30,96.47058868,42.74509811,,,,,,,,
2552.25,30,96.86274719,42.35294342,,,,,,,,
2521,30,97.64706421,43.13725662,,,,,,,,
2525,30,94.11764526,16.86274529,,,,,,,,
2504.5,30,95.6862793,40,,,,,,,,
